,Ultimate Parent Name,Country,Ultimate Parent ISIN,Latitude,Longitude,ExposureScore_Composite_ModerateHigh_2020,ExposureScore_Composite_ModerateHigh_2030,ExposureScore_Composite_ModerateHigh_2040,ExposureScore_Composite_ModerateHigh_2050,ExposureScore_Composite_ModerateHigh_2060,ExposureScore_Composite_ModerateHigh_2070,ExposureScore_Composite_ModerateHigh_2080,ExposureScore_Composite_ModerateHigh_2090
16015,Philippine National Bank,Philippines,PHY7027H1583,14.1636,121.2423,81,79,79,82,84,84,86,86
42971,India,India,,12.95943,77.58305,80,79,77,75,76,76,76,76
33094,McDonald's Corp.,United Kingdom,US5801351017,52.6018092,-2.1294685,70,72,71,74,78,78,81,84
3829,Qatar,Turkey,,40.22749,27.24236,81,82,83,86,87,89,91,92
10547,China,China,,31.85869,120.3398,66,68,67,70,74,74,76,78
18385,Wihlborgs Fastigheter AB,Denmark,SE0011205194,55.71889,12.42532,68,68,68,74,77,75,78,79
20246,ICICI Bank,India,INE090A01021,13.02675,80.26222,72,72,70,71,70,71,72,71
48159,Deutsche Bk Aktiengesellschaft,Germany,DE0005140008,49.31609,6.75106,69,72,70,72,75,75,80,82
34535,Ayala Land Inc.,Philippines,PHY0488F1004,14.11362,120.95857,77,76,76,80,82,83,85,86
42163,Société Générale Société anony,Czech Republic,FR0000130809,49.0242,17.6462,67,73,69,77,80,83,86,87
39349,India,India,,22.6167,88.4167,62,61,53,54,56,53,56,61
7062,India,India,,23.70836,87.32692,66,63,58,54,58,52,56,60
42824,West China Cement Ltd.,China,JE00B3MW7P88,33.721699,110.228472,62,65,62,62,70,72,74,76
15326,OTP Bank Nyrt.,Bulgaria,HU0000061726,41.55822,23.27455,79,81,80,84,85,87,90,91
33739,Invesco Ltd.,United Kingdom,BMG491BT1088,51.535764,-0.902894,80,83,80,83,86,86,90,91
48368,DGB Financial Group,South Korea,KR7139130009,35.85673,128.6339,74,77,77,77,81,82,82,86
12485,KB Financial Group,South Korea,KR7105560007,37.19677,127.0293,76,76,75,77,83,83,85,86
49341,Aeon Co.,China,JP3388200002,39.03032,117.72347,58,63,57,57,58,63,75,79
34071,alstria office REIT-AG,Germany,DE000A0LD2U1,48.7233,9.1692,77,81,77,77,82,86,89,90
43072,China,China,,25.44117,118.9953,76,75,78,82,81,83,87,88
22124,Netherlands,Netherlands,IT0005418915,54.80979,4.71151,28,29,23,21,22,22,22,23
12717,China,China,,24.99431,102.712,75,77,81,83,85,88,88,89
29171,Raiffeisen Gruppe,Switzerland,,47.37767,9.53954,70,72,65,69,73,78,80,82
30879,Applied Materials Inc.,Italy,US0382221051,45.670927,12.323441,74,76,72,79,83,84,88,89
14606,BPER Banca SpA,Italy,IT0000066123,39.08212,16.37264,83,85,83,87,88,91,92,94
25868,India,India,,26.46643,84.44517,73,72,70,69,68,67,68,69
51149,China,China,,31.14694,121.5243,72,73,75,78,81,81,83,84
29549,China,China,,27.81506,114.3614,69,73,74,74,80,79,82,83
38622,ABANCA Corporación Bancaria S.,Spain,,43.69429,-7.442793,70,74,70,75,76,79,83,86
38075,Intesa Sanpaolo S.p.A.,Slovenia,IT0000072618,46.4327,14.06277,75,76,70,75,79,75,81,81
14364,ICICI Bank,India,INE090A01021,22.97569,72.65892,79,78,78,73,74,74,73,73
54074,India,India,,26.46226,80.35353,78,75,72,71,70,70,67,71
42750,Mistras Group,United Kingdom,US60649T1079,53.42521,-1.374308,72,73,72,74,76,77,81,82
44029,China,China,,31.26188,113.6849,67,73,72,72,75,73,77,76
41227,Rocket Internet SE,Germany,DE000A12UKK6,48.139793,11.567239,67,70,64,67,72,75,77,78
33266,KB Financial Group,South Korea,KR7105560007,37.4862,126.7822,72,73,74,72,81,78,82,82
4451,Invesco Ltd.,United Kingdom,BMG491BT1088,51.530434,-0.897602,80,83,80,83,86,86,90,91
33052,Absa Group,Zambia,ZAE000255915,-15.39204,28.32832,63,59,58,56,58,64,69,70
13013,India,India,,21.00091,78.22635,77,78,75,73,74,72,73,73
8603,Invest Capital,Bulgaria,,42.66519,23.26595,77,79,77,79,80,79,82,83
40867,ABANCA Corporación Bancaria S.,Spain,,42.17885,-7.113026,75,76,78,80,83,83,88,89
18371,China,China,,30.36869,113.4593,62,67,67,68,72,71,74,74
23664,Groupe BPCE,France,,46.07578,-1.09264,77,79,81,84,85,86,88,89
8138,ICICI Bank,India,INE090A01021,26.95303,75.76038,77,74,70,72,70,69,67,70
49269,BNP Paribas,Poland,FR0000131104,54.5228,18.54246,60,62,62,70,72,71,75,79
42403,AURELIUS Eqty Opportunities SE,United Kingdom,DE000A0JK2A8,53.8666775,-1.6848857,76,77,75,78,81,83,86,89
4082,SASAC,China,,30.346998,112.201919,63,64,66,65,71,70,74,75
8,Magyar Bankholding Zrt.,Hungary,,47.16985,19.79572,62,64,64,66,71,73,76,78
37970,Centerbridge Partners L.P.,Luxembourg,,49.632171,6.172133,74,76,74,79,81,83,88,88
31957,China,China,,24.49761,118.1258,68,68,69,71,72,72,76,78
37603,India,India,,22.99216,71.46651,80,77,77,68,67,67,65,69
38533,Ourry,France,,48.64,2.7,78,81,80,87,90,91,93,93
36455,Standard Bank,Namibia,ZAE000109815,-17.43712,14.36012,54,54,57,64,65,71,75,77
42562,China,China,,30.01999,103.5193,66,73,73,80,83,88,89,89
45968,India,India,,16.98562,82.23597,56,51,47,51,54,56,56,61
33485,China,China,,40.0407,117.4134,76,75,73,72,73,71,72,73
12486,KB Financial Group,South Korea,KR7105560007,36.28211,127.2363,74,76,77,76,81,81,83,85
24437,China,China,,23.16851,112.9006,62,64,63,64,66,63,64,68
6159,Banco Bilbao Vizcaya Argentari,Spain,ES0113211835,37.23958,-5.104773,84,85,86,87,88,89,91,92
10287,Handelsbanken,United Kingdom,SE0007100599,52.81777,-2.08431,74,76,74,78,83,85,88,90
28758,J Sainsbury plc,United Kingdom,GB00B019KW72,50.6823255,-1.5245784,74,76,74,77,79,80,85,85
51048,Jiangsu Zijin Rural Comm Bk Co,China,CNE100003GZ3,32.25007,118.8851,68,68,70,75,78,79,79,83
20601,India,India,,18.47785,73.89271,82,82,78,76,78,77,77,77
41317,National Grid plc,United Kingdom,GB00BDR05C01,51.528976,-2.653412,73,76,75,79,82,81,86,88
50552,India,India,,13.00609,76.1064,77,77,71,73,74,75,76,78
31967,India,India,,14.78851,78.27468,77,75,72,72,72,71,68,67
48812,India,India,,22.84906,75.07721,79,79,77,75,76,74,73,74
26298,India,India,,24.58807,76.15757,80,77,74,72,73,70,71,72
51603,Kotak Mahindra Bank,India,INE237A01028,19.01744,73.09627,48,54,57,54,56,58,62,62
9932,ICICI Bank,India,INE090A01021,17.07783,82.13557,62,57,53,55,54,58,57,60
