,TCUID,Company,ISIN,GICS Sector Name,Carbon-Scope 1  (tonnes CO2e),Carbon-Scope 2  (tonnes CO2e),Carbon-Scope 3 (tonnes CO2e),Carbon Intensity-Scope 1 (tonnes CO2e/USD mn),Carbon Intensity-Scope 2 (tonnes CO2e/USD mn),Carbon Intensity-Scope 3 (tonnes CO2e/USD mn),Carbon Disclosure,Revenue (USD mn)
35003,236140,"DeHua TB New Decoration Material Co.,Ltd",CNE000001LT1,Materials,70731.841,100021.286,224153.712,75.498,106.761,239.257,Estimated data,936.873361841954
35008,236141,"Sinomach Automobile Co., Ltd.",CNE0000017D0,Consumer Discretionary,193546.718,256516.324,385800.568,30.265,40.112,60.329,Estimated data,6394.9905
35013,236142,"Fortune Ng Fung Food (Hebei) Co.,Ltd",CNE000001K99,Consumer Staples,4851.974,5702.994,251141.636,30.825,36.231,1595.498,Estimated data,157.406395244165
35018,236143,"GuoCheng Mining CO.,LTD",CNE0000003F5,Materials,26897.942,35116.629,19003.752,204.534,267.03,144.506,Estimated data,131.508288027564
35021,236144,"Gansu Jingyuan Coal Industry & Electricity Power Co., Ltd",CNE000000D40,Energy,2763981.128,29249.857,119426.686,5173.479,54.748,223.537,Value derived from fuel use provided in Annual Report/Financial Accounts Disclosure,534.259699946574
35026,236145,"Yinyi Co., Ltd.",CNE000001352,Consumer Discretionary,14267.23,48823.587,190643.902,12.37,42.333,165.299,Estimated data,1153.329399884668
35031,236146,Guangdong Huatie Tongda High-speed Railway Equipment Corporation,CNE0000012S9,Industrials,7884.748,3858.841,81489.058,24.258,11.872,250.708,Estimated data,325.0351
35036,236147,"Shengda Resources Co.,Ltd.",CNE000000H04,Materials,26454.198,34342.044,22195.145,111.476,144.715,93.529,Estimated data,237.308692806287
35041,236148,"Guangxi Guiguan Electric PowerCo.,Ltd.",CNE0000011Y9,Utilities,3700116.364,537.107,219044.139,2845.597,0.413,168.457,Value derived from fuel use provided in Annual Report/Financial Accounts Disclosure,1300.295399869971
35046,236149,"Guangzhou Yuexiu Financial Holdings Group Co., Ltd.",CNE0000013M0,Financials,828.466,9905.813,38901.933,0.609,7.277,28.576,Estimated data,1361.333881217718
35052,236150,"Guangzhou Yuetai Group Co., Ltd.",CNE0000017S8,Real Estate,5527.447,24250.9,13305.944,12.648,55.493,30.448,Estimated data,437.0106
35058,236151,"China Tungsten And Hightech Materals Co.,Ltd",CNE0000006M4,Materials,297426.073,85281.689,515089.609,206.934,59.335,358.374,Estimated data,1437.2972
35062,236152,"Hainan Airport Infrastructure Co., Ltd",CNE000001C32,Real Estate,13024.089,38414.569,53684.752,14.234,41.983,58.672,Estimated data,914.992972354647
35067,236153,"Hang Zhou Iron & Steel Co.,Ltd.",CNE000000V97,Materials,322316.144,298329.219,806119.473,68.603,63.497,171.577,Estimated data,4698.305137396984
35068,236154,"Harbin Hatou Investment Co.,Ltd",CNE000000H38,Utilities,1895274.15,5264.757,168625.604,4423.371,12.287,393.554,Estimated data,428.468299957153
35073,236155,"Cangzhou Dahua Co., Ltd.",CNE000001204,Materials,66618.677,21272.675,104698.808,278.096,88.802,437.06,Estimated data,239.552739363415
35079,236156,Zangge Mining Company Limited,CNE000000L08,Materials,114715.804,61928.045,71582.886,415.925,224.532,259.538,Estimated data,275.8091
35085,236157,"ENN Natural Gas Co., Ltd.",CNE000000DG7,Materials,4530550.082,143849.918,3647873.966,354.913,11.269,285.767,Value split from data provided in Environmental/CSR,12765.22529872348
35089,236158,"Antong Holdings Co., Ltd.",CNE000000XN1,Industrials,20883.282,10008.381,54640.906,29.811,14.287,77.999,Estimated data,700.5336
35094,236159,"Henan Shenhuo Coal & Power Co.,Ltd",CNE000001097,Materials,13062397.994,274074.83,1026485.836,4792.842,100.563,376.637,Value derived from fuel use provided in Annual Report/Financial Accounts Disclosure,2725.39689890984
35098,236160,"Zotye Automobile Co., Ltd",CNE000001337,Consumer Discretionary,3423.486,2128.447,64906.356,17.656,10.977,334.747,Estimated data,193.896474777452
35103,236161,"Aoyuan Beauty Valley Technology Co.,Ltd.",CNE0000007D1,Real Estate,28871.75,6642.755,68199.926,100.263,23.068,236.838,Estimated data,287.959691299663
35108,236162,"Hubei Sanxia New Building Materials Co., Ltd.",CNE0000014M8,Industrials,56893.999,32916.191,52290.103,152.327,88.13,140.001,Estimated data,373.49789996265
35113,236163,"Huayuan Property Co.,Ltd.",CNE000000M31,Real Estate,14168.05,62160.332,34106.028,12.648,55.493,30.448,Estimated data,1120.153252361017
35118,236164,"Gosun Holding Co., Ltd.",CNE000001287,Information Technology,397.038,1049.846,5616.543,3.133,8.285,44.326,Estimated data,126.7098
35124,236165,"DaTang HuaYin Electric Power Co., LTD",CNE000000M56,Utilities,19523368.862,770.853,909019.335,16320.869,0.644,759.909,Value derived from fuel use provided in Annual Report/Financial Accounts Disclosure,1196.221144586105
35129,236166,"Hubei Fuxing Science and Technology Co.,Ltd",CNE000000ZG0,Real Estate,20498.72,59954.242,206476.536,18.86,55.161,189.97,Estimated data,1086.890899891311
35134,236167,"Hunan Valin Steel Co., Ltd.",CNE000001006,Materials,49421288.385,2553062.187,9866008.72,2927.017,151.207,584.323,Value split from data provided in Environmental/CSR,16884.5258
35136,236168,"Inner Mongolia Yuan Xing Energy Co.,Ltd",CNE000000P20,Materials,962371.081,370947.058,417180.998,862.785,332.562,374.011,Estimated data,1115.423466298895
35141,236169,"Central china land media CO.,LTD",CNE0000000X4,Communication Services,5181.216,12203.262,106191.41,3.729,8.782,76.419,Estimated data,1389.603277651902
35147,236170,"JiaoZuo WanFang Aluminum Manufacturing Co., Ltd",CNE000000826,Materials,997925.431,364072.925,365942.27,1451.74,529.638,532.357,Estimated data,687.3995
35152,236171,"Sinosteel Engineering & Technology Co., Ltd.",CNE0000007W1,Industrials,45786.303,25049.795,374356.241,21.311,11.659,174.244,Estimated data,2148.456459016916
35157,236172,CNPC Capital Company Limited,CNE000000MS3,Industrials,3798.037,21960.237,116959.124,0.87,5.031,26.793,Estimated data,4365.365399236811
35162,236173,"Shenzhen Kingkey Smart Agriculture Times Co.,Ltd",CNE000000HD5,Consumer Staples,29775.912,30808.178,143231.643,50.472,52.222,242.787,Estimated data,589.947582175481
35166,236174,"Liaoning Energy Industry Co.,Ltd",CNE000000MW5,Materials,2659839.313,34741.593,163006.998,3631.637,47.435,222.563,Value derived from fuel use provided in Annual Report/Financial Accounts Disclosure,732.407899853518
35171,236175,"Lingyuan Iron & Steel Co., Ltd.",CNE000001279,Materials,7553578.183,390138.613,1718502.825,2568.355,132.654,584.323,Estimated data,2941.0176
35176,236176,"CPT Technology (Group) Co.,Ltd",CNE0000002D2,Information Technology,11555.631,10076.774,50940.218,36.352,31.699,160.247,Estimated data,317.8851
35181,236177,"TPV Technology Co., Ltd.",CNE0000002J9,Information Technology,361097.466,323286.215,1621358.176,36.352,32.545,163.222,Estimated data,9933.469099006652
35186,236178,"Rongan Property Co.,Ltd.",CNE0000000R6,Real Estate,20485.399,89876.815,49313.462,12.648,55.493,30.448,Estimated data,1619.615
35191,236179,"LianChuang Electronic Technology Co.,Ltd",CNE000001L07,Information Technology,44823.315,37508.615,169197.975,41.071,34.369,155.035,Estimated data,1091.354099890865
35196,236180,Norinco International Cooperation Ltd.,CNE000000VZ9,Industrials,38240.537,25302.23,164243.093,20.537,13.589,88.207,Estimated data,1862.018299813798
35201,236181,"Pangang Group Vanadium & Titanium Resources Co., Ltd.",CNE0000007H2,Materials,401574.994,390121.446,319294.341,261.979,254.507,208.301,Estimated data,1532.849910536919
35207,236182,"Easy Visible Supply Chain Management Co.,Ltd.",CNE000000RG7,Industrials,11909.391,6870.195,50803.28,8.459,4.88,36.083,Estimated data,1407.959899859204
35212,236183,"Luxi Chemical Group Co., Ltd.",CNE000000WN3,Materials,893203.466,187768.7,1206148.909,350.401,73.661,473.168,Estimated data,2549.089795962586
