,Ultimate Parent Name,Ultimate Parent ISIN,Asset ID,Latitude,Longitude,Activity Description,ExposureScore_Composite_ModerateHigh_2020,ExposureScore_Composite_ModerateHigh_2030,ExposureScore_Composite_ModerateHigh_2040,ExposureScore_Composite_ModerateHigh_2050,ExposureScore_Composite_ModerateHigh_2060,ExposureScore_Composite_ModerateHigh_2070,ExposureScore_Composite_ModerateHigh_2080,ExposureScore_Composite_ModerateHigh_2090
30260,Zhenro Properties Group Ltd,KYG9897E1098,10179746,34.16882,117.14555,Multi-Use,61,67,67,69,70,71,73,76
38399,China,,410105,24.48465,118.0795,Bank Branch,72,72,75,76,78,78,83,85
39277,Hong Leong Invt Hldgs Pte. Ltd,,10181946,22.81668,113.79741,Multi-Use,67,67,64,68,70,70,73,74
9325,China,,430566,29.98349,122.3845,Bank Branch,78,80,82,85,87,87,91,91
7180,China,,413108,24.34158,109.4318,Bank Branch,67,69,68,69,73,74,74,77
510,China,,496969,24.65873,116.1761,Bank Branch,73,74,75,76,76,76,78,78
1094,China,,831032,38.74254,117.5523,Bank Branch,72,70,64,60,67,75,81,81
22280,China,,501261,29.71802,106.6322,Bank Branch,67,67,65,69,74,77,77,79
52777,SASAC,,69824,38.10068,106.65295,Mining Property,76,77,81,81,83,84,86,87
16563,China,,420876,31.42038,119.4828,Bank Branch,74,76,77,78,81,80,81,82
22557,China,,732510,39.93487,116.2021,Bank Branch,78,79,78,76,78,76,78,79
45557,China,,449969,33.92936,116.4495,Bank Branch,70,78,78,78,80,79,80,81
53351,China Guangfa Bank,,384199,36.08154,114.3394,Bank Branch,76,78,78,76,76,78,78,78
7135,China Minsheng Banking,CNE0000015Y0,809197,32.01134,120.857,Bank Branch,66,67,67,71,74,75,77,80
40383,China,,410684,34.58047,105.7292,Bank Branch,74,79,77,79,83,83,84,86
22911,China,,429314,44.30674,86.04056,Bank Branch,81,80,80,76,77,76,77,79
28102,Beijing Rural Commercial Bank,,346274,39.74337,116.1415,Bank Branch,78,78,77,68,71,69,71,72
40421,China,,412316,23.23178,113.2733,Bank Branch,63,64,62,64,68,67,69,72
1081,China,,454191,26.68432,100.7508,Bank Branch,68,68,70,74,78,84,87,88
14315,China,,453683,30.65128,104.0689,Bank Branch,64,69,66,71,75,78,81,81
37125,Bank of Comms Co. Ltd.,CNE100000205,839296,26.56411,106.7299,Bank Branch,67,70,72,77,83,87,87,90
14758,Sichuan Languang Dev. Co.,CNE0000017B4,3331419,30.741006,103.958159,Instn Address,64,69,66,72,76,79,80,81
35458,Kaidi Ecological & Envmntl Tec,CNE000001089,142206,29.38493,115.7186,Electric Plant,67,70,73,75,78,79,81,83
18814,China,,387743,30.41917,112.8913,Bank Branch,63,66,67,67,72,71,74,74
35935,China Merchants Bank,CNE000001B33,817706,38.02772,114.563,Bank Branch,76,75,72,66,65,66,67,67
5325,China,,408772,32.52367,117.6844,Bank Branch,61,63,62,65,69,67,69,71
22114,Bank of Lanzhou Co. Ltd.,CNE1000056L9,790151,39.83348,98.2494,Bank Branch,83,82,82,76,77,78,81,77
8377,Oversea-Chinese Banking Corp,SG1S04926220,297280,39.1287,117.1958,Bank Branch,66,67,62,58,60,59,62,62
18175,People's Gvt Shandong Province,,773693,37.28557,122.067,Bank Branch,80,84,84,87,88,91,93,93
43739,China,,497590,38.18979,77.26019,Bank Branch,72,69,67,67,70,72,72,72
14461,Bank Liuzhou,,518932,24.3428,109.3999,Bank Branch,67,69,68,69,73,74,74,77
38325,SASAC,,10198949,37.85678,112.45038,Multi-Use,78,78,79,78,79,80,82,81
43922,Huishang Bank,CNE100001QP7,318493,32.91998,117.359,Bank Branch,62,63,62,64,68,66,68,70
54442,China Vanke Co,CNE0000000T2,10068137,22.2041,113.32679,Residential,75,75,77,78,80,82,84,85
17542,China,,498395,30.85846,120.262,Bank Branch,76,77,78,81,83,82,84,85
34232,Bank Beijing,CNE100000734,724992,28.6815,115.9426,Bank Branch,64,66,67,67,71,72,73,75
21092,Chen Ting Sen (PTC) Ltd.,,10209583,29.02178,111.67666,Multi-Use,65,64,67,68,74,73,74,76
23296,China,,388300,27.55413,109.9724,Bank Branch,67,68,70,70,75,76,76,79
54196,Bank of Comms Co. Ltd.,CNE100000205,359252,23.37729,116.6787,Bank Branch,69,71,71,72,74,74,77,80
55801,China,,790960,25.98643,119.4532,Bank Branch,71,71,72,75,74,77,80,81
3721,Hangzhou United Rural,,731043,30.17163,120.1917,Bank Branch,71,71,74,79,82,80,82,84
39011,SASAC,,190122,25.28715,109.2819,Electric Plant,71,74,76,79,81,85,85,88
31156,Bank Guiyang Co.,CNE100002FX2,824323,27.01213,106.032,Bank Branch,67,69,71,77,83,87,88,90
38476,China,,501548,30.93059,117.8111,Bank Branch,63,65,65,66,72,69,73,74
48103,China,,427084,29.58977,103.7532,Bank Branch,63,68,66,72,75,77,77,78
15345,China,,419792,34.26532,117.1961,Bank Branch,56,63,62,61,63,63,65,68
8878,China,,452582,21.21541,110.4182,Bank Branch,70,72,75,76,80,82,84,84
37072,China,,502400,47.20424,123.6524,Bank Branch,65,64,67,66,68,69,72,73
7143,China Minsheng Banking,CNE0000015Y0,347001,22.51554,113.9333,Bank Branch,72,72,72,75,78,80,82,84
26007,China,,424329,37.1944,122.0607,Bank Branch,79,81,83,84,85,87,89,90
29231,China,,830936,45.74335,126.5528,Bank Branch,63,63,62,67,70,68,74,75
55064,People's Gvt Shandong Province,,408036,34.99804,118.2542,Bank Branch,63,69,67,68,68,70,72,75
3795,China,,496452,26.18985,104.1069,Bank Branch,69,70,71,76,80,86,87,89
56332,China,,836625,26.89584,112.57,Bank Branch,66,70,70,70,73,74,77,78
54150,Chongqing Rural Commercial,CNE100000X44,289136,31.4982,109.6289,Bank Branch,64,68,67,72,77,78,81,83
18934,Avnet Inc.,US0538071038,5187858,31.167925,121.397122,Company Headquarters,79,79,81,83,85,86,87,88
21127,China Vanke Co,CNE0000000T2,10217292,22.72715,108.39036,Multi-Use,69,71,75,77,80,84,81,84
8918,China Merchants Bank,CNE000001B33,319406,31.3739,119.817,Bank Branch,75,76,77,78,81,81,83,83
18236,Bank of Comms Co. Ltd.,CNE100000205,359273,22.95435,113.2384,Bank Branch,64,65,64,66,68,68,71,72
2955,China,,427329,30.70327,104.0662,Bank Branch,64,69,66,71,75,78,81,81
14616,China,,419616,43.36863,128.2411,Bank Branch,70,69,71,77,79,78,82,84
46838,China,,454109,27.72575,106.9274,Bank Branch,67,71,72,78,84,88,89,90
31488,China,,583610,35.41584,116.9978,Bank Branch,79,82,79,79,80,82,82,84
5248,China Merchants Bank,CNE000001B33,793593,32.13824,118.7216,Bank Branch,61,63,62,67,70,70,70,74
46966,Chongqing Rural Commercial,CNE100000X44,289350,31.21076,109.3214,Bank Branch,66,68,68,72,77,79,82,83
52873,China,,830907,40.81323,111.7282,Bank Branch,82,82,81,81,84,84,85,87
38713,China,,608033,30.57295,103.9841,Bank Branch,64,70,66,72,76,79,80,81
23663,Ping An Ins (Grp) Co. CN Ltd,CNE1000003X6,747711,29.59484,106.5271,Bank Branch,67,67,65,69,74,77,77,80
33724,Cargill Inc,,4352356,31.23037,121.473701,Instn Address,79,80,81,84,86,86,87,88
55398,China,,446963,28.65769,121.444,Bank Branch,77,78,79,80,82,83,84,85
32597,China,,413440,24.41345,111.5677,Bank Branch,67,68,70,71,73,74,76,77
28663,China,,420426,31.45349,121.102,Bank Branch,67,69,71,73,77,77,80,81
51531,Bank of Ningbo Co. Ltd.,CNE1000005P7,510588,29.76031,121.4506,Bank Branch,76,78,80,83,85,86,89,90
30856,China,,393577,42.52372,125.6799,Bank Branch,69,72,69,72,73,71,78,77
5071,China,,443365,39.62738,118.1668,Bank Branch,76,80,77,76,77,77,79,78
40628,China,,854310,24.51336,117.6598,Bank Branch,72,72,72,73,73,76,78,79
49667,China,,413317,22.15552,108.7638,Bank Branch,70,71,73,76,79,83,81,83
26338,China,,836104,40.65676,122.2333,Bank Branch,70,69,67,67,66,67,70,69
17449,China,,498867,35.69267,105.0539,Bank Branch,72,80,82,82,87,89,90,91
1059,China,,445566,31.26295,121.4934,Bank Branch,79,80,81,83,86,86,87,88
43031,China,,67225,33.39659,104.93164,Mining Property,61,67,64,72,79,82,84,85
31793,China,,732604,39.8474,116.4226,Bank Branch,78,79,78,69,72,70,71,72
1101,CIFI Holdings (Group) Co. Ltd.,KYG2140A1076,10136734,31.24134,120.4832,Residential,77,78,78,81,83,83,84,85
55116,Dongguan Rural Comm Bk Co. Ltd,CNE100004QH8,833722,22.80449,114.0962,Bank Branch,67,67,65,69,71,71,73,75
25203,China,,427028,30.75636,104.7807,Bank Branch,67,72,70,78,81,86,87,89
48242,Industrial Bank,CNE000001QZ7,716842,29.67032,106.5969,Bank Branch,67,67,65,69,74,77,77,79
34019,Chang'an Bank Co.,,519835,34.50206,109.4447,Bank Branch,65,69,70,71,75,75,77,78
18284,SASAC,,130020,39.912,116.35782,Office,78,79,78,69,72,70,72,72
5135,Top Coast Investment Ltd,,10161012,28.21168,113.0938,Residential,69,72,73,76,79,80,82,84
16567,China Dili Group,KYG2121J1013,10155084,47.31945,123.94204,Multi-Use,69,66,68,69,71,71,73,74
55471,China,,492054,25.09068,104.9035,Bank Branch,68,72,76,80,85,90,91,92
9967,China,,394910,19.99086,110.3199,Bank Branch,70,73,74,75,78,81,83,83
50175,China,,303923,38.89182,121.6228,Bank Branch,69,72,71,76,79,79,83,84
21262,China,,420981,33.33268,120.1491,Bank Branch,63,64,63,70,70,72,74,76
51295,China,,413605,23.23221,108.8171,Bank Branch,71,72,73,75,77,78,76,78
49767,China,,421634,27.63977,114.0421,Bank Branch,68,71,74,74,79,80,82,84
1434,China,,690309,31.38599,121.0327,Bank Branch,79,80,83,86,88,89,91,92
41886,China,,450513,30.70099,111.2973,Bank Branch,62,64,64,66,73,71,75,76
2356,China,,502401,47.21443,123.6162,Bank Branch,65,64,67,66,68,69,72,73
52540,Tianjin Rural Comm Bk Co. Ltd.,,825975,39.06579,117.6428,Bank Branch,58,63,57,57,58,57,60,60
18004,China,,444741,42.01599,121.6584,Bank Branch,72,70,67,68,67,68,70,69
31193,China,,429606,28.64106,104.4122,Bank Branch,66,71,73,82,86,89,89,89
45149,China,,410625,24.86057,118.5561,Bank Branch,72,70,72,74,73,75,77,80
30511,Bank of Comms Co. Ltd.,CNE100000205,839303,45.76633,126.5977,Bank Branch,63,63,63,67,70,68,73,75
1997,China,,427332,32.25718,106.0217,Bank Branch,64,70,69,79,85,88,89,89
24855,China,,452952,24.31141,109.3929,Bank Branch,67,69,68,69,73,74,74,77
10581,China,,452980,24.31315,109.4153,Bank Branch,67,69,68,69,73,74,74,77
34113,State-owned Assets Supervision,,70461,40.70927,111.73989,Power Plant,83,82,81,81,83,83,84,86
24355,China,,450850,30.45247,112.6923,Bank Branch,67,68,71,72,79,78,81,82
2558,China,,452697,21.63755,110.9214,Bank Branch,73,73,76,74,80,81,83,84
5188,China,,583891,23.13844,111.7777,Bank Branch,66,68,68,69,70,71,71,74
51086,China,,451651,22.82215,113.6678,Bank Branch,67,66,65,67,70,70,73,74
54863,State-owned Assets Supervision,,73662,21.31543,110.40923,Power Plant,74,75,77,78,84,85,86,88
25229,Foshan Rural Commercial Bank,,518618,23.0151,113.1161,Bank Branch,63,64,64,65,69,67,70,72
41635,China Vanke Co,CNE0000000T2,10194999,28.63666,121.39676,Multi-Use,79,80,82,83,86,87,89,90
29745,China,,609083,30.55047,114.3018,Bank Branch,62,65,67,68,71,70,73,73
2702,Shanghai Pudong Development,CNE0000011B7,465774,28.12921,121.2311,Bank Branch,79,80,82,84,87,87,89,90
9087,China Guangfa Bank,,283491,39.92257,116.4139,Bank Branch,78,79,78,75,78,76,77,78
3034,CIFI Holdings (Group) Co. Ltd.,KYG2140A1076,10200377,28.07503,113.02821,Multi-Use,69,72,74,76,79,80,82,84
54543,Longfor Group,KYG5635P1090,10174933,30.62383,103.98024,Shopping Center,64,70,66,72,76,79,80,81
39102,China,,419055,42.9651,127.1085,Bank Branch,68,69,68,77,80,79,86,87
54124,China,,425228,36.67727,117.0419,Bank Branch,71,75,75,75,74,74,75,75
15451,China,,494702,27.79449,114.3831,Bank Branch,66,69,68,68,73,72,75,76
17980,Bank of Jiangsu Co. Ltd.,CNE100002G76,529012,31.55963,120.3016,Bank Branch,66,69,68,71,74,75,76,78
37862,Greentown China Holdings Ltd.,KYG4100M1050,10216424,34.38523,108.89978,Multi-Use,79,81,81,83,86,87,88,89
2869,China,,419639,43.19355,126.0131,Bank Branch,82,83,81,84,84,85,89,89
10953,China,,420475,31.62766,120.7444,Bank Branch,77,78,77,80,83,83,85,86
2910,China,,423258,40.59186,110.0294,Bank Branch,73,73,78,77,80,81,83,82
49689,China,,496194,35.74782,119.2082,Bank Branch,76,79,79,77,79,81,80,86
31705,Ping An Ins (Grp) Co. CN Ltd,CNE1000003X6,748170,32.04877,118.7365,Bank Branch,61,63,62,67,70,70,70,74
31761,Midea Dev. Holding (BVI) Ltd.,,10177593,21.86817,112.01837,Residential,72,71,72,72,78,79,79,80
31048,China,,4563463,30.054384,107.878738,Instn Address,68,71,70,78,84,86,88,89
9234,CIFI Holdings (Group) Co. Ltd.,KYG2140A1076,10217066,22.71047,108.35231,Residential,69,71,75,77,80,84,81,84
38639,China,,392006,22.64522,114.2084,Bank Branch,72,72,72,75,77,79,81,83
18395,Wuhan DDMC Culture & Sports Co,CNE000000VC8,4461267,39.907806,116.397583,Instn Address,78,79,78,75,78,76,77,78
56187,China,,418990,27.1249,112.097,Bank Branch,69,74,75,77,80,82,84,86
9706,China,,431107,28.01894,120.6742,Bank Branch,75,76,77,78,81,83,83,85
30819,Guangxi Wuzhou Comms Co,CNE000001626,4995056,22.813582,108.371385,Company Headquarters,64,68,68,70,72,75,72,75
56170,China,,421945,41.07558,120.8083,Bank Branch,75,77,74,78,79,78,83,83
5637,China,,425291,35.3919,119.549,Bank Branch,72,73,77,75,76,78,79,84
32806,China Bohai Bank Co. Ltd.,CNE100003YB7,876630,30.28049,120.1728,Bank Branch,76,77,77,81,82,81,83,83
14532,GDS Holdings Ltd.,US36165L1089,5270,22.54286003,114.0595627,Wholesale,67,68,66,69,71,73,74,76
13140,Zhejiang Xiaoshan Rural Comm B,,604815,30.14976,120.3025,Bank Branch,67,69,69,74,76,74,76,78
28638,China,,419839,32.07908,118.7412,Bank Branch,61,63,62,67,70,70,70,74
47957,China,,416978,45.25944,131.1541,Bank Branch,70,68,72,77,79,79,85,84
12776,Bank Guiyang Co.,CNE100002FX2,824392,26.84312,106.5943,Bank Branch,66,69,71,77,83,86,87,89
48227,Bank of Comms Co. Ltd.,CNE100000205,358312,31.26701,121.5286,Bank Branch,79,80,81,83,86,86,87,88
42733,Zhenro Properties Group Ltd,KYG9897E1098,10147108,30.73828,121.18746,Multi-Use,75,75,79,82,85,85,87,88
30418,China,,388248,27.73434,111.9953,Bank Branch,68,72,71,73,76,77,78,80
17329,Bayerische Motoren Werke Aktie,DE0005190003,4212486,41.8,123.5,Engine,76,74,70,76,75,75,80,79
51844,China,,444317,40.10493,124.3601,Bank Branch,63,66,59,67,68,70,73,74
53312,China,,583400,23.36429,116.7064,Bank Branch,69,71,71,72,74,74,77,80
14249,Blackstone Inc.,US09260D1072,3924339,31.23037,121.473701,Instn Address,79,80,81,84,86,86,87,88
150,China,,498427,27.72365,112.2275,Bank Branch,70,75,77,78,82,83,84,86
20092,Zhenro Properties Group Ltd,KYG9897E1098,10216247,24.61495,118.07357,Multi-Use,70,69,72,74,74,77,80,81
27002,HSBC Holdings plc,GB0005405286,546079,45.74757,126.6828,Bank Branch,63,63,62,67,70,68,74,75
35935,Country Garden Holdings,KYG245241032,10202840,34.15051,112.46297,Multi-Use,75,81,80,80,82,84,84,86
53347,China Guangfa Bank,,283484,39.90774,116.4162,Bank Branch,78,79,78,75,78,76,77,78
25052,China,,415245,38.86571,115.5324,Bank Branch,78,79,76,70,70,71,71,71
7157,China,,411397,23.1309,113.2963,Bank Branch,63,64,62,64,68,67,69,72
13427,China,,448593,25.43859,119.0151,Bank Branch,71,71,72,76,76,77,80,81
21067,Shanghai Pudong Development,CNE0000011B7,465842,43.89195,125.3104,Bank Branch,79,80,79,81,82,81,86,86
18694,China,,416564,34.76996,111.2044,Bank Branch,64,69,71,70,73,74,75,76
27157,China,,451729,22.59284,113.3827,Bank Branch,69,67,67,69,71,72,73,74
42300,China,,386208,25.50226,103.7949,Bank Branch,69,73,75,77,80,85,85,86
52637,LongJiang Bank,,524568,45.80524,126.5154,Bank Branch,63,63,63,67,70,68,73,75
38872,Ningbo Yinzhou Rural Comm Bk C,,794080,29.89168,121.6412,Bank Branch,74,75,76,78,81,80,83,84
35197,Chaowei Power Holdings Ltd.,KYG204791043,4911373,30.995763,119.866181,Company Headquarters,77,79,80,83,86,86,88,88
18510,China,,426610,31.23004,121.3994,Bank Branch,79,79,81,83,85,86,87,88
27139,China,,443126,39.9822,116.3596,Bank Branch,78,79,78,75,77,76,77,78
9335,Bank Beijing,CNE100000734,786847,28.66547,115.8345,Bank Branch,64,66,67,67,70,72,73,74
34853,Bank of Comms Co. Ltd.,CNE100000205,358297,31.25703,121.4587,Bank Branch,79,80,81,83,86,86,87,88
51199,China,,4438789,31.820429,117.22715,Instn Address,66,70,70,71,74,73,76,76
29525,China,,491529,43.82458,87.58961,Bank Branch,80,80,79,80,80,81,82,85
23368,HNA Technology Co.,CNE000000MG8,4994884,31.216866,121.513774,Company Headquarters,80,80,82,84,86,86,88,88
21425,China Vanke Co,CNE0000000T2,10153049,23.10541,113.45943,Residential,63,65,63,65,68,67,70,72
43055,China,,496340,27.33878,103.7109,Bank Branch,63,65,63,70,72,79,80,82
14467,China,,409653,40.46599,115.9849,Bank Branch,77,75,73,66,66,64,66,67
33639,China,,492834,22.82187,108.3462,Bank Branch,64,68,68,70,72,75,72,75
25941,China Vanke Co,CNE0000000T2,10126907,22.86182,108.23362,Multi-Use,68,72,74,77,80,83,81,83
18506,China Merchants Bank,CNE000001B33,850060,22.8502,108.2787,Bank Branch,64,67,68,69,72,75,72,75
42324,China,,295382,30.61994,104.043,Bank Branch,64,69,66,71,75,78,81,81
5795,Country Garden Holdings,KYG245241032,10204214,27.27268,111.73667,Multi-Use,65,69,70,72,74,75,77,80
4519,China,,423267,42.75203,112.6564,Bank Branch,82,81,80,79,77,78,79,80
53991,China,,832287,30.45337,112.6966,Bank Branch,67,68,71,72,79,78,81,82
46425,China Minsheng Banking,CNE0000015Y0,733774,37.72104,115.6874,Bank Branch,78,78,76,71,69,70,72,72
37118,Bank of Comms Co. Ltd.,CNE100000205,786706,23.11953,113.2569,Bank Branch,63,64,62,64,68,67,69,72
32141,China,,415224,36.87879,114.1335,Bank Branch,78,81,78,72,73,76,77,76
49046,Wheelock and Co. Ltd.,HK0020000177,133058,30.63735,104.10971,Multi-Use,64,69,66,71,75,78,81,81
38509,China,,494085,38.92673,121.6696,Bank Branch,68,71,73,77,82,83,86,89
47640,China,,447648,28.93866,118.8895,Bank Branch,63,67,67,70,72,74,75,76
37741,China,,429177,40.64158,80.37641,Bank Branch,79,70,75,74,70,73,74,74
51262,China,,446093,33.45899,118.2162,Bank Branch,59,62,62,67,69,67,69,70
28453,China,,491460,28.41148,119.8544,Bank Branch,72,75,77,80,83,84,85,87
10591,China,,583839,38.01582,114.5448,Bank Branch,76,75,72,67,65,66,67,67
15045,China,,445942,32.35077,118.847,Bank Branch,64,65,66,70,71,72,72,76
27163,SASAC,,105690,38.174819,106.619497,Electric Plant,66,68,68,69,73,73,77,78
49570,China,,491620,29.3498,103.8289,Bank Branch,66,72,71,80,84,88,87,88
54015,China,,417635,31.32271,113.5779,Bank Branch,70,75,76,76,80,80,83,83
53258,SASAC,,191387,25.64535,104.375,Electric Plant,67,71,74,79,84,90,90,91
37872,Sino-Ocean Group Holding Ltd.,HK3377040226,10196846,30.60353,114.29806,Multi-Use,62,64,67,68,71,69,73,73
5358,China,,758678,32.04981,118.814,Bank Branch,65,67,67,75,77,78,78,81
5414,China,,393823,31.10712,121.3972,Bank Branch,79,79,81,83,85,86,87,88
22182,Yuexiu Property Co. Ltd.,HK0000745908,10209505,31.31761,120.82149,Multi-Use,77,79,79,81,83,84,85,87
35909,China,,387890,29.29069,106.2592,Bank Branch,67,67,66,70,74,77,77,79
21961,Chang'an Bank Co.,,840237,34.56891,110.0893,Bank Branch,69,73,72,74,78,78,80,81
27675,SASAC,,364564,22.78388,112.4029,Electric Plant,68,70,70,71,75,76,78,80
29200,China,,832197,34.51214,109.4965,Bank Branch,65,69,70,71,75,75,77,78
9132,China,,777690,32.56815,120.6874,Bank Branch,68,69,70,77,79,82,83,85
35877,China Vanke Co,CNE0000000T2,10195117,34.17282,108.99001,Multi-Use,79,81,81,83,87,87,88,90
20982,China,,452435,22.55668,113.8867,Bank Branch,68,68,66,69,72,73,74,76
28802,China,,429723,26.00889,98.62586,Bank Branch,63,63,68,70,76,83,87,88
3437,Jiangsu Changshu Rural Comm Bk,CNE100002RJ6,826223,31.89159,121.2045,Bank Branch,67,70,70,73,77,77,80,82
19636,China,,497394,37.88603,116.5361,Bank Branch,72,75,68,71,70,71,72,73
35778,China,,446479,32.45636,119.9113,Bank Branch,64,65,64,69,72,72,73,76
48294,China,,767063,31.98292,119.5722,Bank Branch,74,76,75,78,80,80,80,82
32677,China,,418534,26.57533,110.1521,Bank Branch,71,72,76,78,82,84,85,88
29124,Citigroup Inc.,US1729674242,623011,22.53975,114.0507,Bank Branch,67,68,66,69,71,73,74,76
31225,Hua Xia Bank,CNE000001FW7,462642,31.24766,121.4594,Bank Branch,79,80,81,84,86,86,87,88
14774,China,,387261,34.35902,108.7206,Bank Branch,79,82,81,83,86,87,88,89
52269,China,,419848,33.59529,119.0256,Bank Branch,64,66,64,69,70,72,71,73
47754,Shenzhen Municipal People's Gv,,10102473,28.24607,113.10765,Residential,66,68,68,69,72,73,75,76
32740,China,,837020,39.23393,76.77176,Bank Branch,79,77,75,77,77,77,80,80
54252,Beijing Jingneng Power Co.,CNE000001B82,254426,38.21426,106.5447,Electric Plant,66,68,68,69,73,73,77,78
53772,Shanghai Oriental Pearl Grp,CNE0000004Z1,31590,42.11902,92.61052,Mining Property,79,80,78,78,80,77,80,79
2368,China,,496690,30.17718,120.2751,Bank Branch,71,72,74,80,81,81,83,85
30557,China,,425616,36.52297,113.0403,Bank Branch,68,68,69,65,65,65,65,65
43915,China Minsheng Banking,CNE0000015Y0,346656,30.6223,104.0772,Bank Branch,64,69,66,71,75,78,81,81
20001,SASAC,,90508,35.324731,116.9258,Electric Plant,79,82,79,79,80,82,82,84
27575,SASAC,,92107,29.955736,108.375964,Electric Plant,67,68,71,75,79,82,84,87
27046,Henan Lingrui Pharmaceutical C,CNE000001501,4812235,32.148621,114.091049,Company Headquarters,71,73,75,77,79,80,82,83
45095,China,,498192,22.55666,114.1225,Bank Branch,67,68,66,69,71,73,74,76
25610,China,,390972,32.20223,119.463,Bank Branch,63,64,64,68,71,71,71,74
48548,China,,409547,33.97371,116.7868,Bank Branch,58,63,63,65,66,65,67,69
43099,China,,500229,34.27495,108.8696,Bank Branch,77,79,78,79,82,82,83,85
19473,China,,501946,37.78901,113.617,Bank Branch,64,61,58,57,54,57,56,56
49093,Industrial Bank,CNE000001QZ7,716402,22.81565,108.3683,Bank Branch,64,68,68,70,72,75,72,75
43370,Gree Electric Appliances Inc Z,CNE0000001D4,4915270,22.250254,113.523884,Company Headquarters,71,70,69,71,73,75,76,76
50625,China,,495255,38.87219,116.4608,Bank Branch,79,81,79,72,72,73,75,74
40996,Industrial Bank,CNE000001QZ7,347634,24.95503,118.3765,Bank Branch,74,73,76,78,79,81,84,85
24608,Guangdong Shunde Rural Comm Bk,,510982,22.84335,113.2671,Bank Branch,64,65,63,65,69,68,71,72
12269,China,,411236,38.7831,101.085,Bank Branch,84,83,82,83,85,86,88,88
15873,China Natl Gold Grp Co. Ltd.,,30606,27.915,115.83459,Mining Property,68,71,73,75,79,79,81,82
27020,Bank of Comms Co. Ltd.,CNE100000205,357810,36.1101,120.3532,Bank Branch,79,80,82,80,82,84,84,87
32410,SASAC,,395831,27.50889,101.2967,Electric Plant,64,67,69,75,77,85,86,88
3968,China,,393000,46.05358,125.9581,Bank Branch,67,66,64,69,71,69,73,74
47764,China,,453279,29.49946,106.5079,Bank Branch,66,67,66,69,75,77,78,80
44275,China,,430483,28.29638,121.0336,Bank Branch,80,80,82,83,86,88,89,90
2587,China,,448046,32.92381,117.3973,Bank Branch,64,67,67,71,74,74,76,78
47891,China,,389818,37.52493,121.4287,Bank Branch,80,83,82,84,85,86,90,91
11892,China,,494540,36.11946,114.3696,Bank Branch,76,78,78,76,76,78,78,78
20935,China,,455036,34.72141,104.8908,Bank Branch,70,74,78,79,85,87,87,89
2784,China,,499006,41.19311,122.0354,Bank Branch,62,63,58,64,64,63,70,70
16279,China,,497705,36.67396,116.9757,Bank Branch,73,79,77,79,77,79,80,80
10874,China,,416291,35.73298,115.3981,Bank Branch,78,82,80,80,80,82,83,83
40752,Zhenro Properties Group Ltd,KYG9897E1098,10161182,26.22694,119.35013,Residential,76,76,78,81,81,84,86,87
42101,China,,415812,34.66034,112.4122,Bank Branch,72,78,79,78,80,80,80,82
16488,China,,415782,32.20282,114.5314,Bank Branch,70,74,76,77,80,80,82,83
7287,China,,389134,38.04485,114.6085,Bank Branch,76,74,72,66,65,66,67,66
36176,China,,423525,36.98534,105.9126,Bank Branch,76,77,78,79,82,81,83,84
18389,China,,418799,28.24949,112.5563,Bank Branch,66,68,68,69,74,74,75,77
9207,China,,444387,38.91242,121.5874,Bank Branch,65,67,68,70,75,74,77,80
35128,China,,410665,34.55904,105.9751,Bank Branch,77,81,79,83,87,88,88,90
42109,Mizuho Financial Group,JP3885780001,304498,31.23555,121.5076,Bank Branch,80,80,82,84,86,86,88,88
9328,Bank of Jiangsu Co. Ltd.,CNE100002G76,529026,31.71174,120.184,Bank Branch,65,68,67,70,73,73,75,77
17156,SASAC,,205694,19.1809,108.9677,Electric Plant,57,62,61,60,62,63,65,67
24302,Dongguan Rural Comm Bk Co. Ltd,CNE100004QH8,833758,22.95645,113.9716,Bank Branch,66,66,64,67,70,70,72,74
40465,Harbin Bank Co. Ltd.,CNE100001SB3,580481,29.47226,106.4751,Bank Branch,67,67,66,70,74,77,77,79
55986,Guangzhou Rural Commercial,CNE100002FR4,470393,23.27779,113.2987,Bank Branch,63,64,62,64,67,67,68,72
37415,SASAC,,425243,25.0128,117.2484,Electric Plant,75,75,79,81,83,84,88,88
48357,Beijing Municipal People's Gov,,10176312,39.66412,115.98467,Multi-Use,76,74,73,65,66,64,66,67
21374,China,,430594,29.95145,121.7119,Bank Branch,75,76,76,79,82,81,84,84
28484,China,,500767,37.06325,114.5158,Bank Branch,77,79,76,71,69,71,71,71
40638,China,,431011,30.3663,120.7995,Bank Branch,74,74,77,81,83,84,86,87
36317,China,,608409,23.5662,116.412,Bank Branch,74,74,76,76,79,80,84,85
38632,China,,426324,34.15039,108.9453,Bank Branch,79,81,81,83,87,87,88,90
47799,Bank Beijing,CNE100000734,408137,39.9611,116.3234,Bank Branch,78,79,78,75,77,76,77,78
33268,China,,500835,36.74319,114.5107,Bank Branch,79,82,79,74,73,75,76,76
22274,Bank of Wenzhou Co. Ltd.,,796634,27.99369,120.6847,Bank Branch,76,77,78,80,82,83,83,84
12988,China,,569099,37.43248,118.6517,Bank Branch,72,75,71,72,70,72,74,76
1416,China,,798523,35.45585,113.8101,Bank Branch,74,76,75,72,73,73,72,74
54340,China,,390980,32.16821,120.0357,Bank Branch,65,67,65,70,73,73,74,76
