,Ultimate Parent Name,Ultimate Parent ISIN,Asset ID,Latitude,Longitude,Activity Description,ExposureScore_Composite_ModerateHigh_2020,ExposureScore_Composite_ModerateHigh_2030,ExposureScore_Composite_ModerateHigh_2040,ExposureScore_Composite_ModerateHigh_2050,ExposureScore_Composite_ModerateHigh_2060,ExposureScore_Composite_ModerateHigh_2070,ExposureScore_Composite_ModerateHigh_2080,ExposureScore_Composite_ModerateHigh_2090
52384,Guangzhou Rural Commercial,CNE100002FR4,470234,22.94124,113.3796,Bank Branch,64,65,63,65,69,68,71,72
49083,China,,582395,22.4749,113.3097,Bank Branch,72,72,72,75,76,78,80,80
42913,SASAC,,254811,38.90452,111.9217,Electric Plant,68,71,70,69,74,75,77,78
55307,China,,295368,31.24111,121.4736,Bank Branch,79,80,81,84,86,86,87,88
38591,China,,526939,31.2934,120.6492,Bank Branch,77,78,78,81,83,83,85,86
16794,SASAC,,70527,31.11729,109.44578,Power Plant,65,68,68,72,77,79,82,83
27174,China,,452504,22.55719,114.2392,Bank Branch,72,73,73,76,79,81,83,85
35889,China,,387846,29.58475,106.5866,Bank Branch,67,67,65,69,74,77,77,79
8863,China,,455787,40.66976,109.7972,Bank Branch,74,73,78,77,80,81,82,81
11678,SASAC,,72269,31.33329,121.58458,Power Plant,79,80,81,83,86,86,87,88
21749,China,,582339,23.03814,113.7683,Bank Branch,66,66,63,67,69,69,71,73
30562,China,,426516,30.91589,121.4501,Bank Branch,80,80,81,84,86,86,88,88
51611,China,,420728,33.03336,120.4795,Bank Branch,67,68,69,75,78,81,81,84
25191,China,,426216,34.27869,108.9865,Bank Branch,77,79,78,79,82,82,83,85
28699,China,,384972,30.26457,120.1709,Bank Branch,76,77,77,80,82,81,83,83
24010,China,,500222,34.25195,108.8732,Bank Branch,77,79,78,79,82,82,83,85
40123,China,,495069,32.23042,106.2942,Bank Branch,66,70,70,79,85,87,89,89
40210,China,,583736,37.64044,117.573,Bank Branch,76,78,76,74,73,75,77,78
21096,China,,409854,39.98391,116.3165,Bank Branch,78,79,78,75,77,76,77,78
42463,China,,449349,35.42619,116.5906,Bank Branch,76,79,77,77,76,78,78,79
18296,China,,411358,23.1543,113.2366,Bank Branch,63,64,63,64,69,67,69,72
36270,China,,427139,30.28833,105.0246,Bank Branch,68,74,72,80,84,88,89,90
48627,China,,414905,37.07319,115.6723,Bank Branch,78,79,77,77,75,76,77,77
4416,Ourgame Intl Hldgs Ltd,KYG6847M1087,4972980,40.01147,116.467213,Company Headquarters,77,75,74,72,73,72,74,74
18958,China Guangfa Bank,,815534,45.7705,126.6624,Bank Branch,63,63,63,67,70,68,73,75
36702,Jilin Yatai (Group) Co. Ltd.,CNE000000JC3,506,43.167148,126.041253,Cement,82,83,81,84,84,85,89,89
55730,Bank of Comms Co. Ltd.,CNE100000205,358533,34.24246,108.9137,Bank Branch,76,79,78,80,83,83,84,85
33235,China,,494774,30.94097,118.7563,Bank Branch,62,64,65,67,72,69,74,73
53797,China,,451264,26.21992,111.6196,Bank Branch,67,70,72,73,73,75,77,78
10621,China,,392938,46.58879,125.1166,Bank Branch,80,80,81,81,83,82,83,83
18712,China,,418325,27.83856,112.1801,Bank Branch,71,74,76,78,82,83,84,86
54136,SASAC,,10173937,24.47506,118.1065,Multi-Use,68,68,69,71,72,72,76,78
23762,China,,582493,29.68449,115.9795,Bank Branch,64,67,68,68,71,70,74,75
13671,China,,411130,35.70645,105.3595,Bank Branch,72,81,82,83,87,89,89,91
45941,China,,427447,30.63382,104.0525,Bank Branch,64,69,66,71,75,78,81,81
42906,Bank Anshan Co.,,818294,40.85687,122.6344,Bank Branch,71,68,67,67,66,67,71,70
2759,China,,412018,22.45337,113.1607,Bank Branch,72,71,72,73,76,78,79,80
6634,SASAC,,187621,23.55926,103.5847,Electric Plant,66,70,74,77,80,86,86,87
33898,Shenzhen Municipal People's Gv,,10209322,23.09297,114.36032,Residential,71,72,70,71,72,73,74,75
5426,China,,385029,43.86126,87.58179,Bank Branch,80,80,79,80,80,81,82,85
16459,China,,413579,22.63852,110.1728,Bank Branch,67,67,69,69,71,73,73,75
2258,China,,388803,39.90753,116.2917,Bank Branch,78,79,78,69,72,70,72,72
11838,China,,422157,40.70127,122.9136,Bank Branch,71,69,67,68,67,66,71,71
11474,China,,447427,28.16989,120.4794,Bank Branch,77,78,81,82,85,87,88,90
46970,China,,409195,32.90251,115.8319,Bank Branch,60,64,64,65,69,68,68,70
1108,Bank Beijing,CNE100000734,786840,31.2024,121.5962,Bank Branch,80,80,82,84,86,86,88,88
33586,China,,494619,28.75011,104.623,Bank Branch,64,67,65,71,73,76,76,77
30512,China,,421734,28.6832,115.8581,Bank Branch,67,70,73,73,77,78,80,81
25083,Standard Chartered PLC,GB0004082847,544404,23.39888,113.2174,Bank Branch,62,64,62,65,67,66,68,71
18852,China,,831075,39.13086,117.1295,Bank Branch,65,67,62,58,60,59,62,61
35335,Bank of Jinzhou,CNE1000023B0,575246,40.72861,124.7724,Bank Branch,63,63,61,69,69,70,73,74
8729,China,,445919,31.94288,118.8459,Bank Branch,62,64,63,68,71,71,71,73
29427,Zhongyuan Bank Co. Ltd.,CNE100002GY8,823415,34.7755,113.7285,Bank Branch,71,77,79,78,79,80,80,82
1283,China,,414004,28.88092,107.6056,Bank Branch,67,70,72,76,82,87,88,89
11637,Shanghai Pudong Development,CNE0000011B7,465499,30.7588,120.713,Bank Branch,77,78,79,82,84,83,85,85
37726,China,,317765,31.31571,121.6065,Bank Branch,72,73,75,77,80,81,83,84
9656,Guangzhou Rural Commercial,CNE100002FR4,470312,23.01003,113.391,Bank Branch,68,69,68,70,74,74,76,78
2579,SASAC,,601615,46.65243,124.8706,Bank Branch,80,79,80,81,83,82,83,83
12865,China,,385716,30.41423,103.8092,Bank Branch,64,69,67,72,75,79,80,80
8869,China,,452350,22.45838,113.0342,Bank Branch,68,67,67,69,71,72,75,75
35752,China,,790953,29.60244,106.3665,Bank Branch,70,72,70,77,82,86,86,88
35043,China,,453629,30.64333,104.0495,Bank Branch,64,69,66,71,75,78,81,81
21885,Shanghai Rural Comm Bk,CNE100004QD7,295724,31.28894,121.487,Bank Branch,79,80,81,83,86,86,87,88
33472,SASAC,,171593,46.78333,128.9917,Electric Plant,65,64,66,72,78,75,81,83
42446,China,,417986,30.34408,113.0825,Bank Branch,67,70,72,73,78,78,80,82
41370,Guangdong Shunde Rural Comm Bk,,510769,22.90414,113.1984,Bank Branch,64,65,64,66,68,68,71,72
40781,SASAC,,238744,26.01331,111.2989,Electric Plant,71,73,77,79,80,83,84,85
52466,China,,608374,36.19123,113.0844,Bank Branch,70,72,75,68,71,74,73,74
14853,China Untd Ntwrk Comms Ltd,CNE000001CS2,6769,29.56471062,106.5507278,Telco,67,67,65,69,74,77,77,80
8346,Chongqing Rural Commercial,CNE100000X44,289998,29.45182,106.1362,Bank Branch,69,71,70,77,81,86,86,88
21210,China,,391663,25.85825,114.9402,Bank Branch,66,67,68,70,71,74,77,76
12313,China,,415523,33.1887,112.8517,Bank Branch,76,80,80,81,82,84,84,85
48330,China,,448275,24.66729,118.2502,Bank Branch,70,68,70,71,71,73,76,78
20826,China,,390925,32.13072,119.8423,Bank Branch,67,69,69,76,79,80,81,83
46597,China,,837574,26.06266,105.7664,Bank Branch,67,71,73,76,81,85,84,88
10103,China,,496454,25.67204,104.2556,Bank Branch,67,71,74,79,84,90,90,91
